names
stam
AAPL
XOM
MSFT
WMT
IBM
CVX
GE
T
GOOG
JNJ
PG
PFE
WFC
KO
PM
ORCL
JPM
MRK
INTC
VZ
PEP
QCOM
AMZN
ABT
SLB
CSCO
CMCSA
MCD
DIS
V
C
BAC
HD
OXY
UPS
KFT
UTX
MO
COP
MMM
AMGN
AXP
USB
AIG
CAT
UNP
CVS
EBAY
EMC
NWSA
BA
UNH
BMY
MA
GS
CL
ESRX
LLY
SPG
DD
MON
HON
NKE
GILD
TGT
MDT
COST
SO
TWX
ACN
HPQ
EMR
DHR
MET
F
DOW
APC
SBUX
FCX
BIIB
APA
TXN
EXC
NOV
TJX
DTV
KMB
HAL
COF
BAX
PX
PNC
DE
LOW
BLK
WAG
CELG
D
AFL
YUM
DUK
EOG
NEE
LMT
KMI
MS
PCLN
ADP
AMT
FDX
COV
TWC
ITW
CTL
CCL
TYC
BK
RAI
AGN
PRU
GIS
PSX
MOS
BEN
ACE
TRV
PSA
DVN
CSX
NSC
PCP
NEM
CBS
GD
BBT
DELL
EL
BHI
AEP
MCK
TMO
DISCA
SYK
STT
ALXN
WMB
ISRG
BRCM
MRO
CTSH
HCP
CRM
CB
FE
CMI
SE
ECL
DFS
VTR
WLP
PCG
ED
RTN
MMC
YHOO
ALL
K
CCI
EQR
JCI
CME
APD
HNZ
PPL
WFM
INTU
AON
GLW
ADM
NOC
PPG
HES
SYY
MPC
GPS
BXP
SRE
PEG
SCHW
HSY
WM
NBL
LO
VFC
VLO
ADBE
L
M
COH
ETN
TROW
AMAT
PLD
ROST
BDX
TEL
MJN
VNO
S
EIX
PCAR
CTXS
LTD
SHW
BBBY
IP
A
XEL
STX
GWW
RL
IR
CAH
OMC
MHP
MSI
AVB
AZO
CF
STI
FITB
VIAB
CHK
NUE
CAM
ESV
TDC
HCN
ETR
WY
CI
AET
PH
FAST
NU
KR
KSS
CERN
MAT
SYMC
STJ
PXD
ADI
PAYX
PGR
CA
NTAP
MAR
ALTR
CBE
DLTR
JWN
AMP
SWK
FTI
EW
WDC
SWN
NTRS
HST
RHT
MTB
HUM
PRGO
ZMH
MUR
WU
HOT
IVZ
RSG
CPB
RRC
DOV
DTE
ORLY
ROP
WPI
ROK
WYNN
JNPR
CAG
SNDK
GPC
RF
APH
ABC
ICE
NE
AA
MNST
BEAM
MYL
DPS
FISV
DO
HOG
DGX
XRX
CMG
CLX
SPLS
OKE
DVA
FIS
NVDA
WEC
CNP
COG
FRX
FLR
SNI
KLAC
XLNX
AES
MCO
CHRW
SIAL
CCE
LH
LIFE
SJM
AEE
EQT
BCR
BWA
FFIV
ADSK
TAP
MKC
KIM
KEY
BSX
EXPD
LLTC
PFG
SRCL
HIG
SLM
TXT
EMN
FMC
CNX
HRL
FDO
TIF
EXPE
VRSN
WYN
NI
XL
COL
AVP
WAT
MU
DRI
LLL
MCHP
LUV
KMX
BMC
FLS
BLL
BBY
PCL
LNC
ARG
PLL
SCG
AKAM
CLF
VAR
CMS
NYX
BTU
CINF
DNR
JOY
CMA
LEN
TSN
PNW
CFN
IRM
DHI
CBG
HSP
WHR
WIN
HBAN
EFX
XRAY
SHLD
UNM
LUK
FOSL
HP
STZ
PWR
CTAS
VMC
JCP
HRS
JEC
SUN
TRIP
QEP
IFF
NWL
TSO
TMK
HAS
MWV
CSC
PHM
AN
GAS
LRCX
NRG
FTR
IPG
JBL
MAS
MOLX
TEG
XYL
CVH
POM
TSS
URBN
HRB
NBR
RDC
LSI
NFX
CVC
EA
SAI
PBCT
SNA
NDAQ
RHI
TE
SWY
AIV
DNB
PDCO
LM
GCI
ATI
ZION
X
IGT
NFLX
AVY
HCBK
PCS
LEG
APOL
FLIR
HAR
AMD
PKI
BMS
WPX
DF
OI
TER
AIZ
GT
PBI
SEE
WPO
ANF
JDSU
BIG
ETFC
GNW
GME
RRD
TIE
THC
FII
R
FHN
FSLR
ANR
LXK
DV
BRK.B
BF.B
