stock_names
stam
AAPL
MSFT
NVDA
AMZN
GOOG
GOOGL
META
BRK/B
BRK/A
TSM
LLY
AVGO
TSLA
WMT
NVO
JPM
UNH
V
XOM
MA
ORCL
PG
COST
JNJ
HD
ABBV
ASML
KO
BAC
NFLX
MRK
ADBE
SAP
CVX
AZN
AMD
PEP
CRM
TM
NVS
TMUS
TMO
LIN
ACN
CCZ
MCD
SHEL
BABA
ABT
CSCO
DHR
IBM
PM
LYG
FMX
VZ
GE
QCOM
NOW
AXP
TBC
INTU
TXN
AMGN
TBB
ISRG
WFC
RY
NEE
PFE
CAT
SPGI
DIS
UL
RTX
HSBC
HDB
MS
TTE
T
CMCSA
UNP
AMAT
GS
PGR
ARM
SNY
UBER
LOW
SYK
BHP
LMT
PDD
TJX
HON
BLK
BKNG
REGN
ELV
VRTX
BSX
RYAAY
MUFG
ETN
PLD
COP
NKE
CB
MDT
RACE
SONY
ADP
MMC
SCHW
BUD
SBUX
PANW
ANET
AMT
UPS
ADI
C
MELI
TD
KKR
DE
BX
IBN
GILD
CI
HCA
BA
UBS
FI
MDLZ
KLAC
BMY
LRCX
SO
MU
INFY
SHW
PBR
ICE
SHOP
MO
DUK
RELX
GSK
MCO
CL
ZTS
BTI
BP
ENB
SMFG
WM
INTC
GD
EQIX
TT
CP
DELL
WELL
CME
PLTR
TRI
RIO
CMG
SCCO
APH
NOC
AON
TDG
PH
ABNB
CNI
SNPS
DEO
SAN
CDNS
BN
ITW
MSI
EQNR
MMM
CVS
PYPL
ECL
PNC
FDX
CNQ
NU
USB
TGT
BDX
CARR
NGG
EOG
WDAY
SPOT
MCK
AJG
ORLY
MAR
ITUB
CSX
RSG
APO
EPD
BNS
CRWD
ING
PSA
APD
BMO
DHI
NEM
AFL
FCX
CEG
GEV
ROP
CRH
BBVA
EMR
NSC
CM
NXPI
FTNT
PCG
SLB
ADSK
TFC
WMB
AEP
ET
O
MPC
DASH
SPG
TRV
HLT
AZO
OKE
MET
PSX
DLR
COF
AMX
GM
CCI
SRE
E
TTD
MFG
BK
ROST
HMC
ALC
KDP
PCAR
LEN
MFC
NTES
ALL
MNST
GWW
CHTR
PAYX
WCN
D
KMB
TRP
CPRT
JCI
HLN
URI
AIG
COR
TAK
KMI
OXY
SU
FIS
STZ
FICO
SE
STLA
ARES
VALE
KVUE
MPLX
MSCI
TEL
MPWR
IQV
LHX
TEAM
VLO
AMP
RCL
KHC
CPNG
BCS
F
JD
NDAQ
PEG
ACGL
PRU
EW
ODFL
AEM
IDXX
BSBR
MCHP
GIS
CMI
COIN
HSY
LNG
FAST
GEHC
EXC
KR
PWR
CNC
HES
SQ
A
HUM
FLUT
IT
AME
CTVA
HWM
VRSK
FERG
EA
SNOW
SYY
CTSH
EXR
YUM
RKT
HBANL
OTIS
CCEP
EFX
RMD
NWG
IR
ABEV
GOLD
CBRE
GLW
ED
XEL
VEEV
HEI
IMO
APP
DOW
VICI
GRMN
HBANM
IRM
DDOG
HIG
ALNY
DD
NUE
LULU
WIT
BKR
AVB
EIX
VRT
DFS
SLF
DB
BCE
TRGP
CSGP
HPQ
XYL
ORAN
ARGX
MLM
VMC
QSR
EBAY
ONON
WDS
LYB
FANG
TCOM
CHT
EL
FER
TSCO
CVE
WEC
ON
IX
BBD
BIDU
WTW
RBLX
WAB
EQR
PPG
ROK
CDW
BRO
MTD
CVNA
AXON
BNH
LVS
HBANP
BIIB
AWK
DAL
ADM
NVR
PHM
ANSS
PHG
FITB
WPM
GPN
ARGD
MTB
VST
DXCM
TW
K
CAH
